Date,Code,CommodityId,CommodityName,DistrictName,DistrictCode,Stock,CommodityStock
2021-01-18,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,11423.3,1106864.03
2021-01-18,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,95991.91,1106864.03
2021-01-19,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1098041.15
2021-01-19,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95180.11,1098041.15
2021-01-19,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140134.33,1098041.15
2021-01-19,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,58816.39,1098041.15
2021-01-19,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,10489.74,1098041.15
2021-01-19,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,92941.25,1098041.15
2021-01-20,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1120694.11
2021-01-20,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95180.11,1120694.11
2021-01-20,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,138408.19,1120694.11
2021-01-20,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,57816.39,1120694.11
2021-01-20,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,9652.84,1120694.11
2021-01-20,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,119157.25,1120694.11
2021-01-21,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,698788.57,1112552.76
2021-01-21,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,94692.11,1112552.76
2021-01-21,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,135158.51,1112552.76
2021-01-21,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,57816.39,1112552.76
2021-01-21,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,7603.16,1112552.76
2021-01-21,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,118494.02,1112552.76
2021-01-22,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,696520.58,1104583.94
2021-01-22,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,94155.99,1104583.94
2021-01-22,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,131334.52,1104583.94
2021-01-22,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,57283.78,1104583.94
2021-01-22,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,5254.06,1104583.94
2021-01-22,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,120035.01,1104583.94
2021-01-23,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,696520.58,1103312.41
2021-01-23,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,94155.99,1103312.41
2021-01-23,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,131166.4,1103312.41
2021-01-23,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,57283.78,1103312.41
2021-01-23,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,4150.64,1103312.41
2021-01-23,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,120035.01,1103312.41
2021-01-24,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,696520.58,1155854.83
2021-01-24,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,94155.99,1155854.83
2021-01-24,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,131166.4,1155854.83
2021-01-24,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,57283.78,1155854.83
2021-01-24,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,30402.34,1155854.83
2021-01-24,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,146325.74,1155854.83
2021-01-25,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,722614.56,1251925.71
2021-01-25,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,120433.72,1251925.71
2021-01-25,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,175924.22,1251925.71
2021-01-25,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,57283.78,1251925.71
